# Energy [keV], Spectrum [ph/cm^2/s/keV]
500.000,8.586e-06
509.000,8.336e-06
518.162,8.090e-06
527.489,7.844e-06
536.984,7.600e-06
546.649,7.363e-06
556.489,7.138e-06
566.506,6.927e-06
576.703,6.724e-06
587.084,6.522e-06
597.651,6.319e-06
608.409,6.121e-06
619.360,5.933e-06
630.509,5.756e-06
641.858,5.589e-06
653.411,5.427e-06
665.173,5.265e-06
677.146,5.104e-06
689.334,4.947e-06
701.743,4.799e-06
714.374,4.659e-06
727.233,4.524e-06
740.323,4.394e-06
753.649,4.264e-06
767.214,4.134e-06
781.024,4.008e-06
795.083,3.888e-06
809.394,3.774e-06
823.963,3.665e-06
838.794,3.557e-06
853.893,3.450e-06
869.263,3.344e-06
884.910,3.242e-06
900.838,3.146e-06
917.053,3.055e-06
933.560,2.967e-06
950.364,2.880e-06
967.471,2.794e-06
984.885,2.708e-06
1002.613,2.627e-06
1020.660,2.551e-06
1039.032,2.479e-06
1057.735,2.408e-06
1076.774,2.338e-06
1096.156,2.268e-06
1115.886,2.199e-06
1135.972,2.134e-06
1156.420,2.071e-06
1177.235,2.011e-06
1198.426,1.953e-06
1219.997,1.894e-06
1241.957,1.836e-06
1264.313,1.780e-06
1287.070,1.727e-06
1310.237,1.677e-06
1333.822,1.629e-06
1357.831,1.582e-06
1382.271,1.535e-06
1407.152,1.488e-06
1432.481,1.443e-06
1458.266,1.401e-06
1484.515,1.361e-06
1511.236,1.322e-06
1538.438,1.283e-06
1566.130,1.245e-06
1594.320,1.207e-06
1623.018,1.171e-06
1652.232,1.136e-06
1681.973,1.103e-06
1712.248,1.071e-06
1743.069,1.039e-06
1774.444,1.007e-06
1806.384,9.757e-07
1838.899,9.463e-07
1871.999,9.186e-07
1905.695,8.918e-07
1939.997,8.656e-07
1974.917,8.397e-07
2010.466,8.139e-07
2046.654,7.889e-07
2083.494,7.654e-07
2120.997,7.429e-07
2159.175,7.212e-07
2198.040,7.000e-07
2237.605,6.789e-07
2277.882,6.579e-07
2318.883,6.378e-07
2360.623,6.186e-07
2403.115,6.003e-07
2446.371,5.824e-07
2490.405,5.648e-07
2535.233,5.472e-07
2580.867,5.300e-07
2627.322,5.135e-07
2674.614,4.979e-07
2722.757,4.831e-07
2771.767,4.687e-07
2821.659,4.544e-07
2872.448,4.401e-07
2924.153,4.262e-07
2976.787,4.131e-07
3030.369,4.007e-07
3084.916,3.887e-07
3140.445,3.770e-07
3196.973,3.654e-07
3254.518,3.539e-07
3313.099,3.427e-07
3372.735,3.321e-07
3433.444,3.219e-07
3495.246,3.120e-07
3558.161,3.024e-07
3622.208,2.928e-07
3687.408,2.833e-07
3753.781,2.741e-07
3821.349,2.655e-07
3890.133,2.574e-07
3960.156,2.495e-07
4031.438,2.417e-07
4104.004,2.339e-07
4177.876,2.263e-07
4253.078,2.190e-07
4329.634,2.122e-07
4407.567,2.056e-07
4486.903,1.992e-07
4567.667,1.929e-07
4649.885,1.866e-07
4733.583,1.805e-07
4818.788,1.747e-07
4905.526,1.691e-07
4993.826,1.638e-07
5083.714,1.586e-07
5175.221,1.534e-07
5268.375,1.482e-07
5363.206,1.433e-07
5459.744,1.386e-07
5558.019,1.342e-07
5658.063,1.299e-07
5759.909,1.257e-07
5863.587,1.215e-07
5969.131,1.174e-07
6076.576,1.134e-07
6185.954,1.097e-07
6297.301,1.062e-07
6410.653,1.028e-07
6526.045,9.939e-08
6643.513,9.604e-08
6763.097,9.274e-08
6884.832,8.961e-08
7008.759,8.665e-08
7134.917,8.381e-08
7263.346,8.103e-08
7394.086,7.828e-08
7527.179,7.557e-08
7662.669,7.295e-08
7800.597,7.044e-08
7941.007,6.807e-08
8083.945,6.581e-08
8229.456,6.359e-08
8377.587,6.141e-08
8528.383,5.925e-08
8681.894,5.715e-08
8838.168,5.517e-08
8997.255,5.333e-08
9159.206,5.154e-08
9324.072,4.977e-08
9491.905,4.801e-08
9662.759,4.631e-08
9836.689,4.467e-08
10013.749,4.312e-08
10193.997,4.164e-08
10377.489,4.019e-08
10564.283,3.878e-08
10754.440,3.739e-08
10948.020,3.603e-08
11145.085,3.472e-08
11345.696,3.349e-08
11549.919,3.233e-08
11757.817,3.120e-08
11969.458,3.008e-08
12184.908,2.897e-08
12404.237,2.790e-08
12627.513,2.690e-08
12854.808,2.595e-08
13086.195,2.503e-08
13321.746,2.413e-08
13561.538,2.324e-08
13805.645,2.238e-08
14054.147,2.155e-08
14307.122,2.076e-08
14564.650,2.001e-08
14826.813,1.928e-08
15093.696,1.858e-08
15365.383,1.788e-08
15641.960,1.720e-08
15923.515,1.654e-08
16210.138,1.593e-08
16501.921,1.535e-08
16798.955,1.479e-08
17101.336,1.423e-08
17409.160,1.368e-08
17722.525,1.316e-08
18041.531,1.266e-08
18366.278,1.218e-08
18696.871,1.173e-08
19033.415,1.129e-08
19376.016,1.086e-08
19724.785,1.044e-08
20079.831,1.003e-08
20441.268,9.638e-09
20809.211,9.274e-09
21183.776,8.925e-09
21565.084,8.582e-09
21953.256,8.243e-09
22348.415,7.910e-09
22750.686,7.599e-09
23160.198,7.305e-09
23577.082,7.024e-09
24001.469,6.753e-09
24433.496,6.485e-09
24873.299,6.225e-09
25321.018,5.976e-09
25776.796,5.736e-09
26240.779,5.509e-09
26713.113,5.294e-09
27193.949,5.086e-09
27683.440,4.882e-09
28181.742,4.682e-09
28689.013,4.489e-09
29205.415,4.308e-09
29731.113,4.138e-09
30266.273,3.973e-09
